Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2018-04-18,Dinner,719.1,33.2,5.6,6.7,13.2,0.5,0.0,67.1,632.0,50.3,9.7,15.7,56.8,24.9,297.3,9.4,23.1
2018-04-18,Snack,126.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,271.0,28.0,3.0,13.0,2.0,1.0,75.0,8.0,7.0
2018-04-19,Lunch,683.6,40.6,4.5,29.0,5.0,0.0,0.0,0.0,0.0,41.7,5.5,12.5,35.3,0.0,0.0,0.0,0.0
2018-04-19,Dinner,1236.2,26.8,4.2,5.3,6.1,0.0,0.0,19.4,299.6,134.4,11.7,56.9,110.3,9.9,24.7,20.3,1.6
2018-04-19,Snack,122.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,3.1,12.2,1.7,6.0,116.0,5.0,1.0
2018-04-19,Pre/postworkout,336.4,6.2,3.1,0.1,0.8,0.0,13.9,278.0,801.2,37.6,3.1,26.8,34.8,1.3,14.5,42.1,1.4
2018-04-20,Lunch,447.7,18.1,6.1,6.0,1.8,0.0,384.0,934.0,176.0,26.4,1.8,14.0,46.6,32.5,0.0,10.3,28.0
2018-04-20,Dinner,812.8,37.2,7.4,0.8,0.4,0.0,0.4,393.2,190.0,46.4,4.8,1.1,69.9,0.0,0.0,4.6,14.2
2018-04-20,Snack,196.9,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,11.3,0.0,10.0,37.2,0.0,0.0,0.0,0.0
2018-04-21,Lunch,632.3,31.0,14.5,6.3,6.0,0.0,384.0,276.5,526.0,41.0,4.6,5.2,46.2,32.5,0.0,10.3,28.0
2018-04-21,Dinner,709.6,44.9,16.0,0.0,11.0,0.7,0.0,1.0,0.0,21.5,2.5,8.5,52.7,0.0,0.0,0.0,15.0
2018-04-21,Snack,243.0,5.0,2.1,0.1,0.1,0.0,0.0,1.4,176.4,18.1,25.0,16.3,21.7,22.7,63.7,1.2,0.9
2018-04-21,Pre/postworkout,401.0,6.4,2.9,0.1,0.6,0.0,10.0,201.0,678.0,35.2,3.6,24.2,52.5,1.3,14.5,30.5,1.4
